id;uuid;name of product/component/feature/subfeature;description;type;status;color_class
6951520;0ae3e765-e62d-477a-a9e6-153715ab8468;Membership management: beta;"# Value

*SMBs can set up tiered membership plans to enable recurring revenue all within Elation.*

# **Use Case**

SMBs (primarily DPCs and hybrids), especially prospects evaluating Atlas/Cerbo, want to collect membership fees from new + existing patients to generate recurring revenue without yet another vendor. SMBs want a single place to manage all of their membership plans and to reduce administrative overhead through automated billing. 

# **Data Inputs**

A customer using memberships generates at least 2x MRR ($349 EHR + $460 Memberships). We are most likely to be sticky with prospects since we can implement them onto EHR with Turnkey Membership Management (Payments adoption rate is much higher among customers in IMPL). As such, we want to start locking in prospects earlier in the year rather than later.

<p></p>

Strategically:

- gives Elation the capabilities to gain 100% visibility into patient-generated revenue for a practice (direct payments + recurring payments)

- unlocks discovery track to successfully capture opportunity to push RCM customers toward a hybrid model that leverages both memberships + insurance and therefore increases total RUM


# **Projected KR Impact**

*$2-3M ARR total*

- Net new $1.6M Financial Success

- Net new $500k-$1M SMB Subscriptions

  - Data point: $500k-$1M closed lost deals to Atlas / Cerbo, due to all-in-one.


<p></p>

<p></p>

**KR2:** Deliver Membership Management product (includes: ability for a practice to create a membership plan in settings, ability for a practice to enroll a patient in a membership plan, ability for patients to sign up for new membership plan through anonymous form) and subsequently execute on GTM strategy.  (Though note that this epic is for dev work only and go to market is out of scope and should be tracked elsewhere by customer facing teams.)  
This is an umbrella epic to help us track all the individual epics for the Membership Management project.  
The overall goal of this project is to build out and release a minimal viable feature set for simple membership management.  This includes permitting a practice to create membership plans, assign a patient to a plan, and collect membership payments on a simple recurring schedule.  
Please see this spreadsheet for a breakdown of the workflows:  <https://docs.google.com/spreadsheets/d/1TVe8r5sPvQAuiFl4ikmNCqvYMlcg1PG1WSAKq1d1AT0/edit#gid=0>  
Please see this miro board for user flows and wireframes:  <https://miro.com/app/board/o9J_lbiQF18=/>  
Please see this confluence page for working documents:  <https://elationhealth.atlassian.net/wiki/spaces/DEV/pages/1353351826/Membership+Management+2021+Q1> ";feature;Done;green
6951521;88655a87-859d-405c-bf2d-b34e6d403faf;Operationalize RCM: AMD Bidi Sync - Patient Insurance (SD2);"# Value

Current PMS integration with AMD (V1) is unidirectional from AMD into Elation, so most customers with this integration perform FOS and BOS duties directly in AMD to check eligibility, fill out patient billing information, process bills, and track payments. Because AMD does not have read-only accounts, RCM customers do not have access to AMD and must perform all duties in Elation which requires double-entry to prevent Elation info from being overwritten since it is not the system of record on the V1 or V2 integrations. AMD V1.5 is intended to service RCM customers and allow FOS to operate in Elation and BOS to operate in AMD.  
Desired outcomes:

- Elation is the source of truth for patient demographics, insurance, bills, and appointments info for RCM customers & AMD users. 

- Front office staff for RCM customer practices are able to operate only in Elation for greater productivity. 

- Back office staff (Elation RCM /CHS staff) will have the ability to modify data as needed in AMD to get bills to process correctly without losing those changes. 


# **Use Cases**

- RCM customers (and AMD users) want patient insurance changes to sync automatically from Elation to AMD without having to send *E Services an office message that a change has been made.

  - Carrier, plan, group, member ID

  - Policyholder name/DOB/member ID, eff/end dates, primacy (primary/secondary/etc rank)

  - Create, modify, merge, and delete patient charts with insurance info

- Errors with sync are elevated to E* PS staff with actionable information

  - Note: Email was the original design, but needs to be rethought due to the volume of errors - Looker dashboard is best current thinking. B team will be responsible for 'instrumenting' errors and capturing in sync error table which feeds into Looker dashboard Noah Shor is working on.

- Out of scope - self service tool for config/mapping updates, self service tool for client enablement onto PMS integration


# Data Inputs

- The manual sync is also very error-prone and builds data integrity debt, putting NPS at risk.  

- Services FTE projection for Q1’21 is 0.2 FTE, end-2021 is 1.6 FTE w/o product support. >> actually still .2 FTE per Dave as of 10/5


# **Evaluated Solution Hypotheses**

- Automate bidirectional updates that are done as part of the manual audit process currently

  - Eliminate cost associated to .2 FTE at current customer stable ($?)

  - Improved RCM NPS


# **Prioritization Driver Scoring**

- Business Importance - 5

  - RCM enablement is top priority to re-open RCM sales and reduce unit cost of operation of RCM service

- Reach - 2

  - Limited to RCM customers, but expected to benefit customers who prioritize all-in-one

- Impact - 3

  - Enables cleaner billing and collections with better data integrity

- Confidence - 5

- Strategic Importance - 4

  - RCM enablement is key strategy for SMB acquisition
";feature;Done;green
6951522;754b6013-94c4-4a02-86fb-8efe4a6f3791;RCM front-office staff consolidation;"# Value

*RCM customers can conduct all FOS pt billing workflows in *E (e.g. insurance management, eligibility, outstanding balance).*

# Use Case

- Front-office staff has all the information they need (and can trust) to complete patient billing workflows in a single system (*E) with minimal training, including seamless insurance management, eligibility checks, and accurate outstanding balance information. 

- *E Services wants to spend less time manually performing patient eligibility and outstanding balance checks.


# Data Inputs

Prevents current staffing from improving RCM offering. Services FTE projection for Q2’21 is 2.3 FTE,  end-2021 is 9.1 FTE w/o product support.  

RCM customers risk lower collections, since FOS need to manually check a spreadsheet outside of *E for (potentially outdated) outstanding balances. 

<p></p>

RCM customers are unable to complete a realtime eligibility check for walk-in patients or < 24 hour scheduled patients, requiring FOS to complete the eligibility check for this subset of patients.   

<p></p>

100% FFS practices (even non-RCM customers) need to train their staff in at least 2 systems (*E + PMS) to collect pre-visit patient payments, resulting in higher staff mgmt overhead.  

<p></p>

Per Greg, 100% of Techforwards, 50-60% FFS, and 20-30%  hybrid + DPC that want eligibility checks

# Projected KR Impact

*For RCM, too early to quantify as of Jan’21, have yet to establish a baseline.*

- Improved first-pass claims rate

- Improved RCM NPS


<p></p>

Supporting Impact:

- Supports ~80% SMB MRR sales goals

- Supports ~100% Techforward MRR sales goals
";feature;Cancelled;red
6951523;7cc659a7-1b32-4998-ac6d-5ab7bc00839b;Guided Coding: Alpha II;"# Value

*RCM customers receive coding guidance within clinical workflow to minimize rejections & maximize collections.*

# **Use Case**

- RCM customers receive actionable coding guidance from *E Services (and Alpha II) in context of the bill directly within the clinical workflows in *E so they spend less time switching between in-office messaging and the patient’s chart/bill in Elation (includes turning coding automation back on).


# Data Inputs

Challenging for practice to map coding guidance from in-office messages to the bill/patient’s chart in *E -- this will result in lower compliance to proposed edits, higher probability of rejected claims, longer time to collect, and lower overall customer satisfaction.

# **Projected KR Impact**

- % claims touched by *E
";feature;Discovery Candidate;cyan
6951524;5dbd77de-9b83-4c46-bbfd-dd5c9f9c075d;Demographics and Insurance Intake;"Provide method for practices to ensure all required patient demographics and insurance information is present and up to date to avoid billing discrepancies and accelerate payments to practices\.

Efforts in this initiative may include

- ""Bill Readiness"" functionality to alert a user that a bill is missing key demographics / insurance information prior to submission

- Insurance versioning

- OCR to capture data from uploaded insurance cards

- Address verification


<p></p>
<p></p>
";feature;Cancelled;red
6951532;3f26f63b-ebd3-497d-b245-eacbe9831ec0;Appointment Location Support (MLS R1);"# Value

~~*Scheduling across multi-locations to enable prospects to be implemented in*~~ ~~***single-instances**.*~~

Care Delivery Units can schedule patients across multiple locations.

# **Use Case**

- Customers who care for patients at more than one location within a single *E instance can specify where a patient appointment will take place. 

- ~~Patients of customers implemented in a single *E instance can self-schedule across multiple locations via Booking Site.~~ 

- TF customers can utilize “location” as a field in scheduling API endpoint.


# Data Inputs

- Churn risk. 

- Prospects asking: Zoom+Care, ~~Paladina~~, ADP.


# **Projected KR Impact**

- $4.5MM ARR (table stakes required to close existing TF prospect pipeline) 

- Retention ARR
";feature;Done (Archive);green
6951535;8095565d-14b6-4cb0-8c15-e7b40e7ee1fd;Enterprise security (SSO);"# Value

*SSO for all enterprise customers.*

# **Use Case**

- Securely authenticate into Elation using a single set of credentials.

- ~~Further secure PHI with MFA across the Elation platform.~~ 


# Data Inputs

- Churn risk.

- Prospects lost.


# **Projected KR Impact**

- $4.5MM ARR (table stakes required to close existing TF prospect pipeline)

- Retention ARR.

- Supports entire $32MM goal
";feature;Done (Archive);green
6951536;4b10aa95-080b-4f94-95a2-3676dce29ee9;Carequality R1: Ingestion;"# 1\.1 Strategic Alignment

**Objective 2: Be the market leader for tech-forwards**

# 1\.2 Problem Alignment

Carequality provides a national-level, consensus-built, common interoperability framework to enable exchange between and among health data sharing networks\. Carequality has been widely adopted, leading to patient data access from over 600k care providers, 50k clinics, and 4,200+ hospitals across the U\.S\. With Carequality, providers can gain a more comprehensive view of their patient’s health as they move through the healthcare ecosystem, enabling them to make well-informed care decisions and improve their ability to thrive in a value-based world\. To unlock access to Carequality, Elation will integrate Surescripts Record Locator Exchange \(RLE\), which serves as a simplified technical interface into the Carequality network\. Additionally, unlocking access to Carequality unlocks access to Commonwell, an interoperability network similar to Carequality\. Commonwell is interoperated with Carequality, meaning that integrating with Carequality also gives us an out of the box integration with Commonwell\. Beyond unlocking access to a broader national network, integrating with Commonwell also enables us to address risk with customers like CCHCA, who prefer their providers leverage the Commonwell network as the interface for data exchange\.  
Tech forward organizations are engaged in risk arrangements that require them to track patient healthcare utilization holistically, not just within the context of a patient’s engagement with their clinicians and services\. Today, these organizations would need to integrate with or access utilization data via claims \(which is typically 90+ days after care delivery\) or via multiple portals \(HIE, care coordination platforms, etc\.\)\. The ineffective workflows and lack of data accessibility creates friction in care team efficiency and managing the health outcomes for their patient population\.

# 1\.3 Prioritization Drivers

- Promises made to TF customers \(Cityblock, Teladoc\)

- Attracting and retaining TF customers \(OSH\)

- Carequality access unlocks access to other networks rather bespoke integrations for each network \(e\.g\. Commonwell\)


## Scoring

# 1\.4 Solution Hypothesis

## **Hypothesis Statement:**

A holistic view into the patient’s healthcare utilization will enable adjustment of care plans to remediate new or escalating risk conditions\. Access to discharge data from Carequality \(and its connected participants and networks\) will enable this\.

## **Success Measures:**

1. CCDs can be downloaded from Carequality via the Surescripts RLE service\.

    1. Measure: Monitor error and success messages from API monitoring\.

2. Users are reviewing the data downloaded from Carequality\.

    1. Measure: Amplitude user clicking on CCDAs from Carequality\.

3. Users are utilizing the data downloaded from Carequality\.

    1. Measure: Amplitude user importing CCDAs from Carequality\.


## **Use Cases:**

As a provider:
- I want to know if my new patient has had any encounters so that I can be better prepared to update their treatment and clinical profile\.

- I want to know if my patient has had any encounters since their last visit so that I can be better prepared to update their treatment and clinical profile\.

- I want to summarize the clinical data I have reviewed so that I can refer back to it quickly on subsequent visits\.

- I want to update the clinical profile for my patient based on encounter details I received from Carequality and verify with patient so that I have the most up to date information about my patient’s medical history and can define a plan to remediate any health concerns\.

- I want to search for specific clinical documentation from an external provider for a specific encounter so that I can debrief on the notes with the patient and update clinical profile and treatment appropriately\.


## **Constraints:**

## Open Questions:

- Will we allow SMBs to use this service for free or for upgrade?

    - At no additional cost\.

- Should we add to Hammerhead and what we should add for CCDs and when \(what event by clinician would allow it to be shareable via Hammerhead\) received through Carequality?

- Will CCDs through Carequality also be available via APIv2?
";feature;Done;green
6951537;4539c1b4-117a-47a4-93be-d02af4065a9a;Lab Orders API;"# Value

*TF customers can more easily close-the-loop on Lab Orders w/ patients and care teams between visits.*

# **Use Case**

TF developers can manage and fulfill lab orders outside of Elation.

- Orders webhook

- Orders read-only API endpoint (includes Order status)

- ~~Orders API write (?)~~

- ~~Custom lab compendium to include in-home test (Preferred Clinical Network: Enterprise wants Elation users to select specific labs, use specific discount codes, etc)~~


# Data Inputs

**Orders API enables closing loop on lab orders:**

- Top of list for XO, Firefly, Teladoc, Risalto


<p></p>

<https://app.asana.com/0/1108687040060703/list>

# **Projected KR Impact**

- $1M ARR retention if Orders API done in Q1


<p></p>

**Driver scoring:**

- Revenue - model out per API transaction
";feature;Done;green
6951539;20e2a3f0-9bb2-4df6-b005-94c654581fb5;Care Gaps support: existing service;"# Value

*Existing customers can update measures to surface clinical reminders. Prospects can go-live w/ Care Gaps w/in SLAs.*

# **Use Case**

- Enterprise customers can surface custom clinical reminders to their provider network.


# Data Inputs

Greg is selling Care Gaps to all customers right now -- they all expect functionality.

- Zoom Care ($1.2K ARR)

- Iora ($840K ARR)

- CCHCA ($75K ARR upsell on top of $360K ARR)

- Teladoc ($75K ARR upsell on top of $190K ARR)


<p></p>

Existing Care Gaps customers implement new measures every year in Q1. We risk churning them if we can’t support them.

- Agilon

- PMAG

- XO

- Cityblock


<p></p>

For these customers, our stopgap solution is to delete previous years’ measures to make room for this year’s. However, this means customers lose reporting capabilities in-app and in Looker on year-over-year performance for a given patient.

# **Projected KR Impact**

- $1.7MM ARR churn risk

- $3.5MM ARR TF prospects
";feature;Done;green
