"Purpose of this sheet: To define Elation's Product Domains and clarify which teams ""own"" which Capabilities.
To request a change: please comment in this sheet.
For a full list of Feature Request click here.",,,,,,,,,"Changelog
Large-scale events which have significantly changed this sheet (e.g. re-org)",
Product Capability (JTBD),Product Domain,Team,Persona,Date Created,Date Modified,Date Deleted,Notes,,Date Created,Change
Access Elation App (ex. App down),"Account Activation, Authentication & Management",ACES,Onboarding & Support,12/14/2022,5/14/24,,,,6/1/23,"Acquisition of Lightning MD, created Thor team + domains"
Activate Connect account (aka Provider Portal Account),"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,8/1/23,"Re-organization into EHR/Pro/Financial/Core Pillars.
Deprecated B-Team, Enterprise Ops, Care Collab"
Activate Provider account,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,3/1/24,"Re-organization into EHR/PMS/Core
Merged OC, DP, EP, CP into InterOp"
Activate Staff account,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,4/1/24,Domain ownership changes as a consequence of latest re-organization
Configure session TTL,"Account Activation, Authentication & Management",ACES,IT Administrator,11/2/2022,5/14/24,,,,6/1/24,Domain consolidation (Karin Feng driving)
Credential Provider account,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,6/25/24,Transferred Fax Integration to InterOp
Invite users,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,12/2/24,Split off Data Platform from InterOp
Login to Elation or logout of Elation,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,1/27/25,"Merged InterOp into CE, Orders, FOPE, ACES"
Receive consultation on Elation single sign on (SSO) (Solutions),"Account Activation, Authentication & Management",ACES,IT Administrator,12/1/2023,5/14/24,,,,1/27/25,Split off AI from CE
Reset password,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,3/1/25,Transition PMS Integrations from FOPE to Thor
Set up or configure Elation single sign on (SSO) (Solutions),"Account Activation, Authentication & Management",ACES,IT Administrator,12/1/2023,5/14/24,,,,10/24/25,Moved CCDA Imports and Exports from Orders to ACES
Setup IDP,"Account Activation, Authentication & Management",ACES,IT Administrator,11/2/2022,5/14/24,,,,12/25/25,Moved Bill Creation and Coding from CE to GPT
Unlock account,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,,
Verify Provider identity,"Account Activation, Authentication & Management",ACES,Onboarding & Support,11/2/2022,5/14/24,,,,,
Configure user's Profile settings,Account Setup,ACES,Onboarding & Support,11/2/2022,,,,,,
Search activity log,Activity Log - Core (ex. usage activity),ACES,Care Navigator,11/2/2022,5/14/24,,,,,
View activity log actions via API,Activity Log - Core (ex. usage activity),ACES,Care Navigator,11/2/2022,5/14/24,,,,,
View my recent activity,Activity Log - Core (ex. usage activity),ACES,Care Navigator,11/2/2022,5/14/24,,,,,
Audit patient chart access for compliance purposes,Audit Log (CEHRT & compliance related),ACES,IT Administrator,11/2/2022,5/14/24,,,,,
Meet CEHRT audit log requirements,Audit Log (CEHRT & compliance related),ACES,IT Administrator,5/4/2023,5/14/24,,,,,
Bulk export EMR data from Elation,EHR Data Import / Export,ACES,Onboarding & Support,11/2/2022,5/14/24,,,,,
Bulk import EMR data to Elation,EHR Data Import / Export,ACES,Onboarding & Support,11/2/2022,5/14/24,,,,,
Export data according to CCDA standards,EHR Data Import / Export,ACES,Outside Provider,11/2/2022,10/24/25,,,,,
Import data according to CCDA standards,EHR Data Import / Export,ACES,Outside Provider,11/2/2022,10/24/25,,,,,
Contact customer support,Customer Support,ACES,Onboarding & Support,11/2/2022,,,,,,
Receive in-app announcement from Elation,Customer Support,ACES,Onboarding & Support,11/2/2022,,,,,,
Receive release updates from Elation,Customer Support,ACES,Onboarding & Support,8/3/2023,,,,,,
Track customer issues,Customer Support,ACES,Onboarding & Support,11/2/2022,4/13/23,,,,,
,Feature Trial,ACES,,11/11/2024,,,,,,
Configure admin managed delegates,Governance (Roles & Access),ACES,IT Administrator,3/29/2023,5/14/24,,,,,
Define and control access to patient cohorts,Governance (Roles & Access),ACES,IT Administrator,11/2/2022,5/14/24,,,,,
Define the org's governance policy at a user level,Governance (Roles & Access),ACES,IT Administrator,11/2/2022,5/14/24,,,,,
Limit access to patient charts that require more discretion (e.g. VIP),Governance (Roles & Access),ACES,IT Administrator,4/20/2023,5/14/24,,,,,
Limit access to PHI at the chart level,Governance (Roles & Access),ACES,IT Administrator,11/2/2022,5/14/24,,,,,
Reflect user description based on role,Governance (Roles & Access),ACES,IT Administrator,11/2/2022,5/14/24,,,,,
Attribute a patient cohort to an enterprise network,"Network Management (Ex. Bulk CHR, patient attribution)",ACES,IT Administrator,12/14/2022,5/14/24,,,,,
Merge patients,Patient Identity Resolution (Chart Merge & Match),ACES,IT Administrator,11/2/2022,8/1/23,,,,,
Authenticate practice instance,Practice Configuration,ACES,Onboarding & Support,11/2/2022,,,,,,
Configure practice locations,Practice Configuration,ACES,Onboarding & Support,6/22/2023,,,,,,
Configure Practice security settings (incl. MFA),Practice Configuration,ACES,Onboarding & Support,11/2/2022,,,,,,
Configure practice timezone,Practice Configuration,ACES,Onboarding & Support,11/2/2022,,,,,,
Configure print headers,Practice Configuration,ACES,Onboarding & Support,11/2/2022,,,,,,
Setup practice instance,Practice Configuration,ACES,Onboarding & Support,11/2/2022,,,,,,
Merge practices,Practice Splits & Merges,ACES,IT Administrator,11/2/2022,8/1/23,,,,,
Split practices,Practice Splits & Merges,ACES,IT Administrator,11/2/2022,8/1/23,,,,,
"Configure global provider directory (e.g. EPN, Ribbon)",Provider Directory,ACES,Provider,7/13/2023,1/27/25,,,,,
